text,label
"Urgent: your bank account will be closed in 24 hours, click here to verify your identity and avoid suspension.","1"
"PayPal security alert: we noticed unusual activity on your account, log in now and confirm your password.","1"
"Important update: your email storage is full, reconnect to our secure portal and re-enter your credentials.","1"
"Vous avez droit à un remboursement d'impôts, confirmez immédiatement vos coordonnées bancaires via ce formulaire sécurisé.","1"
"Crypto giveaway: send 0.1 BTC to this address and receive 1 BTC back, limited offer only for selected users.","1"
"LA POSTE : votre colis ne peut pas être livré, payez 1,49€ de frais de douane via ce lien pour débloquer la livraison.","1"
"NETFLIX: votre paiement a été refusé, connectez-vous ici pour mettre à jour vos informations bancaires et éviter la coupure du service.","1"
"MICROSOFT 365: votre mot de passe expire aujourd'hui, cliquez sur ce lien pour réactiver votre compte professionnel.","1"
"AMELI: pour continuer à bénéficier de vos droits, veuillez télécharger le formulaire joint et renseigner vos identifiants de carte Vitale.","1"
"Security notice: we have detected a connection from a new device, confirm that this was you by logging in via the attached link.","1"
"Confirmation de rendez-vous: votre consultation chez le médecin est prévue le 12/03 à 15h30, merci d'arriver 10 minutes en avance.","0"
"Compte-rendu de réunion: veuillez trouver ci-joint le PV de la réunion projet du 05/02, avec les actions à mener pour la semaine prochaine.","0"
"Merci pour votre commande Amazon, votre colis a été expédié et sera livré entre le 8 et le 10 mars à votre adresse habituelle.","0"
"Planning sportif: voici le programme des entraînements de la semaine prochaine, pensez à confirmer votre présence sur le groupe.","0"
"Newsletter cuisine: découvrez 5 nouvelles recettes faciles pour cette semaine, avec une liste de courses téléchargeable.","0"
"Votre facture internet du mois de février est disponible dans votre espace client, aucun paiement immédiat n'est requis.","0"
"Votre colis a été livré dans votre boîte aux lettres, si vous ne l'avez pas reçu merci de contacter le service client.","0"
"Résultats d'examen: vos notes du semestre sont accessibles sur l'ent Ecole, connectez-vous avec vos identifiants habituels.","0"
"Invitation: nous fêtons l'anniversaire de Sarah samedi à 19h, merci de nous dire si tu peux venir.","0"
"Merci pour ton aide sur le projet hier, la présentation s'est très bien passée grâce à tes conseils.","0"
